"chapterId","questionType","QuestionPhrase","Answer1","Answer2","Answer3","Answer4","Answer5","CorrectAnswerAsLetter","textIfCorrect","textIfIncorrect","questionImageId","solutionImageId"
"15","Multiple Choice","<SPAN STYLE="""" >Die Spannung der Quelle ist konstant.<BR>Wie ver&auml;ndert sich die Stromst&auml;rke, wenn das Potenziometer in Richtung B verschoben wird?</SPAN>","<SPAN STYLE="""" >I wird kleiner</SPAN>","<SPAN STYLE="""" >Die Stromst&auml;rke &auml;ndert sich nicht, weil in einer Serienschaltung die Stromst&auml;rke immer gleich gross ist.</SPAN>","<SPAN STYLE="""" >Die Stromst&auml;rke &auml;ndert sich nicht, weil die Spannungsquelle immer die gleich grosse Spannung abgibt.</SPAN>","<SPAN STYLE="""" >I wird gr&ouml;sser</SPAN>","VOID","a","<SPAN STYLE="""" >Wird das Potentiometer in Richtung B verschoben, wird die Widerstandsbahn und damit auch der Widerstandswert gr&ouml;sser. Dadurch verkleinert sich die Stromst&auml;rke.</SPAN>","<SPAN STYLE="""" >Wird das Potentiometer in Richtung B verschoben, wird die Widerstandsbahn und damit auch der Widerstandswert gr&ouml;sser. Dadurch verkleinert sich die Stromst&auml;rke.</SPAN>","15","16"
"15","Multiple Choice","<SPAN STYLE="""" >Wie gross ist R4?</SPAN>","<SPAN STYLE="""" >60 &Omega;</SPAN>","<SPAN STYLE="""" >52 &Omega;</SPAN>","<SPAN STYLE="""" >600 &Omega;</SPAN>","<SPAN STYLE="""" >520 &Omega;</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >Rtot = U / I  = 60V / 0,1A = 600&Omega;. <BR>R4 = Rtot - R1 - R2 - R3</SPAN>","17",""
"15","Multiple Choice","<SPAN STYLE="""" >Um wie viel ver&auml;ndert sich der Strom durch die  Lampe, wenn der Schalter auf Position B gekippt wird?</SPAN>","<SPAN STYLE="""" >Um 1 A</SPAN>","<SPAN STYLE="""" >Um 2 A</SPAN>","<SPAN STYLE="""" >Um 3 A</SPAN>","<SPAN STYLE="""" >Um 4 A</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Zuerst I bei der Schalterposition A ausrechnen I = UR / R = (90 V - 30 V) / 30 Ohm = 2 A.  RL = UL / I = 30 V / 2 A = 15 Ohm<BR>Wenn der Schalter unten ist  (Pos B) wird I = 90V / (15 Ohm+15 Ohm) = 3 A</SPAN>","18","19"
"15","Multiple Choice","<SPAN STYLE="""" >In welchem Bereich kann die Stromst&auml;rke I ver&auml;ndert werden?<BR>Die Spannung an der Spannungsquelle bleibt konstant.</SPAN>","<SPAN STYLE="""" >4 bis 6 A</SPAN>","<SPAN STYLE="""" >3 bis 6 A</SPAN>","<SPAN STYLE="""" >4 bis 12 A</SPAN>","<SPAN STYLE="""" >3 bis 4 A</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >Kleinster Widerstand (Potmeter ganz links) = 3&Omega;   I = 4A<BR>Gr&ouml;sster Widerstand (Potmeter ganz rechts)= 4 &Omega;  I = 3A</SPAN>","20",""
"15","Multiple Choice","<SPAN STYLE="""" >In welchem Bereich kann die Spannung U2 ver&auml;ndert werden?</SPAN>","<SPAN STYLE="""" >0 bis 3 V</SPAN>","<SPAN STYLE="""" >3 bis 6 V</SPAN>","<SPAN STYLE="""" >0 bis 6 V</SPAN>","<SPAN STYLE="""" >6 bis 9 V</SPAN>","VOID","a","<SPAN STYLE="""" >Wenn das Potentiometer ganz rechts eingestellt ist, wird U2 = 0V,weil der Widerstand &uuml;berbr&uuml;ckt wird. Wenn dasPotentiometer ganz links eingestellt ist, teilt sich die Gesamtspannung im gleichen Verh&auml;ltnis wie die Widerstandswerte n&auml;mlich 2 : 1. &Uuml;ber dem gr&ouml;sseren Widerstand besteht die gr&ouml;ssere Spannung.</SPAN>","<SPAN STYLE="""" >Wenn das Potentiometer ganz rechts eingestellt ist, wird U2 = 0V,weil der Widerstand &uuml;berbr&uuml;ckt wird. Wenn dasPotentiometer ganz links eingestellt ist, teilt sich die Gesamtspannung im gleichen Verh&auml;ltnis wie die Widerstandswerte n&auml;mlich 2 : 1. &Uuml;ber dem gr&ouml;sseren Widerstand besteht die gr&ouml;ssere Spannung.</SPAN>","21",""
"15","Multiple Choice","<SPAN STYLE="""" >Wird der Schalter auf Position 2 gestellt, sinkt U3 um 30V auf 60V.<BR>Wie gross ist demnach R3?</SPAN>","<SPAN STYLE="""" >R4 = 30 &Omega;</SPAN>","<SPAN STYLE="""" >R4 = 60 &Omega;</SPAN>","<SPAN STYLE="""" >R4 = 10 &Omega;</SPAN>","<SPAN STYLE="""" >Keine Antwort ist richtig</SPAN>","VOID","a","VOID","VOID","24","25"
"15","Multiple Choice","<SPAN STYLE="""" >Wird der Schalter auf Position B gestellt, wird I halb so gross.<BR>Wie gross ist R3?</SPAN>","<SPAN STYLE="""" >R3 = 240 &Omega;</SPAN>","<SPAN STYLE="""" >R3 = 180 &Omega;</SPAN>","<SPAN STYLE="""" >R3 = 160 &Omega;</SPAN>","<SPAN STYLE="""" >Keine Antwort ist richtig</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Der Gesamtwiderstand bei Position B muss doppelt so gross sein wie bei Position A, damit nur der halbe Strom fliesst.</SPAN>","26","27"
"16","Multiple Choice","<SPAN STYLE="""" >Welche Gleichung ist richtig?</SPAN>","<SPAN STYLE="""" >I1 = (U1 / Rtot) - U1 / R1 = Itot - I1</SPAN>","<SPAN STYLE="""" >I1 = (U2 / R2) - U2 / Rtot = I2 - Itot</SPAN>","<SPAN STYLE="""" >I1 = (U2 / Rtot) - U1 / R2 = Itot - I2</SPAN>","<SPAN STYLE="""" >I1 = (U1 / R1) - U2 / R2 = I1 - I2</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >Utot , U1 und U2 sind gleich gross.  Also U1 = U2 = Utot<BR>I1 = Itot - I2      Itot = U2 / Rtot          I2 = U1 / R2</SPAN>","28",""
"16","Multiple Choice","<SPAN STYLE="""" >R1 ist 3 mal gr&ouml;sser als R2.<BR>Wie gross ist R2?</SPAN>","<SPAN STYLE="""" >R2 = 18,5 &Omega;</SPAN>","<SPAN STYLE="""" >R2 = 75 &Omega;</SPAN>","<SPAN STYLE="""" >R2 = 100 &Omega;</SPAN>","<SPAN STYLE="""" >R2 = 33,33 &Omega;</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >Rtot = R2 // R1 = (R2 * 3R2) / (R2 + 3R2)  = (3*R2*R2) / ( 4 R2)<BR>Rtot = (3 / 4) *R2 , das sind gem&auml;ss Angabe 75 &Omega;<BR>3/4 R2 = 75 &Omega;, dann ist R2 = 100 &Omega; und somit  R1 = 300 &Omega;.</SPAN>","29",""
"16","Multiple Choice","<SPAN STYLE="""" >R2 ist 4 mal gr&ouml;sser als R1.<BR>Dann ist:</SPAN>","<SPAN STYLE="""" >I2 = 4 mal gr&ouml;sser als I1.</SPAN>","<SPAN STYLE="""" >I1 = 5 mal gr&ouml;sser als I2.</SPAN>","<SPAN STYLE="""" >Itot = 4 mal gr&ouml;sser als I1.</SPAN>","<SPAN STYLE="""" >Itot = 5 mal gr&ouml;sser als I2.</SPAN>","VOID","d","<SPAN STYLE="""" >Annahme: Durch R2 fliesst I2 = 1A. <BR>R1 ist vier mal kleiner. Dann fliesst durch R1= I1 vier mal mehr = 4A.<BR> Itot  wird dann 4A + 1A  = 5A</SPAN>","<SPAN STYLE="""" >Annahme: Durch R2 fliesst I2 = 1A. <BR>R1 ist vier mal kleiner. Dann fliesst durch R1= I1 vier mal mehr = 4A.<BR> Itot  wird dann 4A + 1A  = 5A</SPAN>","30",""
"16","Multiple Choice","<SPAN STYLE="""" >Welche Gleichung ist falsch?</SPAN>","<SPAN STYLE="""" >U2 = I1 * R1</SPAN>","<SPAN STYLE="""" >U1 = I2 * R2</SPAN>","<SPAN STYLE="""" >U1 = I1 * R1</SPAN>","<SPAN STYLE="""" >U2 = I2 * R1</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >U1 und U2 sind gleich gross.  U1=U2</SPAN>","31",""
"16","Multiple Choice","<SPAN STYLE="""" >Der Gesamtwiderstand ist bei beiden Schaltungen gleich gross.<BR>Wie gross muss R1 sein?</SPAN>","<SPAN STYLE="""" >R1 = 8 &Omega;</SPAN>","<SPAN STYLE="""" >R1 = 6 &Omega;</SPAN>","<SPAN STYLE="""" >R1 = 18 &Omega;</SPAN>","<SPAN STYLE="""" >R1 = 4 &Omega;</SPAN>","VOID","a","<SPAN STYLE="""" >Der Gesamtwiderstand betr&auml;gt  Rtot = R2 / n = 12&Omega; / 3 = 4 &Omega;.<BR>R1 = Rtot * n = 4 &Omega; * 2 = 8 &Omega;</SPAN>","<SPAN STYLE="""" >Der Gesamtwiderstand betr&auml;gt  Rtot = R2 / n = 12&Omega; / 3 = 4 &Omega;.<BR>R1 = Rtot * n</SPAN>","32",""
"16","Multiple Choice","<SPAN STYLE="""" >Der Gesamtwiderstand ist bei beiden Schaltungen gleich gross.<BR>Wie gross muss R2 sein?</SPAN>","<SPAN STYLE="""" >R2 = 2,66 &Omega;</SPAN>","<SPAN STYLE="""" >R2 = 1,33 &Omega;</SPAN>","<SPAN STYLE="""" >R2 = 0,66 &Omega;</SPAN>","<SPAN STYLE="""" >R2 = 6 &Omega;</SPAN>","VOID","d","<SPAN STYLE="""" >Rtot = R1 // R1 = 4 &Omega; // 4 &Omega; =  2 &Omega; oder Rtot = R1 / 2 = 4 &Omega; / 2 =2 &Omega;<BR>R2 = Rtot * n = 2 &Omega; * 3 = 6 &Omega;</SPAN>","<SPAN STYLE="""" >Rtot = R1 // R1 = 2 &Omega; oder Rtot = R1 / 2 = 2 &Omega;<BR>R2 = Rtot * n</SPAN>","33",""
"16","Multiple Choice","<SPAN STYLE="""" >Auf welche Art ver&auml;ndert sich I, wenn der Schalter geschlossen wird?</SPAN>","<SPAN STYLE="""" >I steigt sehr stark</SPAN>","<SPAN STYLE="""" >I sinkt sehr stark</SPAN>","<SPAN STYLE="""" >I bleibt gleich</SPAN>","<SPAN STYLE="""" >I sinkt nur schwach</SPAN>","<SPAN STYLE="""" >I steigt nur schwach</SPAN>","c","<SPAN STYLE="""" >Die Spannung U bleibt konstant !! Es ver&auml;ndert sich nur der Gesamtstrom.</SPAN>","<SPAN STYLE="""" >Die Spannung U bleibt konstant !! Es ver&auml;ndert sich nur der Gesamtstrom.</SPAN>","34",""
"16","Multiple Choice","<SPAN STYLE="""" >In welchem Widerstand fliesst der gr&ouml;sste Strom?</SPAN>","<SPAN STYLE="""" >Im gr&ouml;ssten Widerstand</SPAN>","<SPAN STYLE="""" >In allen fliesst der gleich grosse Strom, weil alle an der gleichen Spannung angeschlossen sind.</SPAN>","<SPAN STYLE="""" >Im untersten Widerstand</SPAN>","<SPAN STYLE="""" >Im kleinsten Widerstand</SPAN>","<SPAN STYLE="""" >Im letzten der Parallelschaltung, also im obersten Widerstand.</SPAN>","d","VOID","<SPAN STYLE="""" >I = U / R. Wenn R gross ist, ist I klein. Die Spannung ist &uuml;berall gleich gross.</SPAN>","35",""
"16","Multiple Choice","<SPAN STYLE="""" >Welche Gleichung ist richtig?</SPAN>","<SPAN STYLE="""" >Rtot = U / (I1 + I2 + I3)</SPAN>","<SPAN STYLE="""" >Rtot = (1 / R1) + (1 / R2) + (1 / R3)</SPAN>","<SPAN STYLE="""" >Rtot = (U / I1) + (U / I2) + (U / I3)</SPAN>","<SPAN STYLE="""" >Rtot = (R1*R2*R3) / (R1+R2+R3)</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Falls L&ouml;sung b gew&auml;hlt wurde: L&ouml;sung b ist falsch, weil das Resultat den Kehrwert der L&ouml;sung ergibt. Es m&uuml;sste heissen: 1 / Rtot = (1 / R1) + (1 / R2) + (1 / R3)</SPAN>","36",""
"16","Multiple Choice","<SPAN STYLE="""" >Wie ver&auml;ndert sich die Leuchtst&auml;rke der Lampe, wenn der Schalter umgekippt wird?</SPAN>","<SPAN STYLE="""" >Lampe leuchtet schw&auml;cher, weil durch den 20 &Omega; Widerstand ein gr&ouml;sserer Strom fliesst als durch den 30 &Omega; Widerstand.</SPAN>","<SPAN STYLE="""" >Die Lampe leuchtet mit gleicher Leuchtst&auml;rke weiter.</SPAN>","<SPAN STYLE="""" >Die Lampe leuchtet st&auml;rker.</SPAN>","<SPAN STYLE="""" >Lampe leuchtet schw&auml;cher, weil durch den 30 &Omega; Widerstand ein gr&ouml;sserer Strom fliesst als durch den 20 &Omega; Widerstand.</SPAN>","VOID","b","<SPAN STYLE="""" >Die Spannung U an der Lampe bleibt konstant !</SPAN>","<SPAN STYLE="""" >Die Spannung U an der Lampe bleibt konstant !</SPAN>","38",""
"16","Multiple Choice","<SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >Wie ver&auml;ndert sich der Strom I</SPAN><SPAN STYLE=""font-size: 6px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;vertical-align: text-bottom;"" >B</SPAN><SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >  wenn der Schalter nach B gekippt wird?</SPAN>","<SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >I </SPAN><SPAN STYLE=""font-size: 6px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;vertical-align: text-bottom;"" >B</SPAN><SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >  bleibt gleich</SPAN>","<SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >I </SPAN><SPAN STYLE=""font-size: 6px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;vertical-align: text-bottom;"" >B</SPAN><SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >   wird kleiner</SPAN>","<SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >I </SPAN><SPAN STYLE=""font-size: 6px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;vertical-align: text-bottom;"" >B</SPAN><SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >  wird gr&ouml;sser</SPAN>","<SPAN STYLE="""" >Das ist von der Gr&ouml;sse des Widerstandes R2 abh&auml;ngig</SPAN>","VOID","a","<SPAN STYLE="""" >Die Spannung U an der Lampe bleibt konstant !</SPAN>","<SPAN STYLE="""" >Die Spannung U an der Lampe bleibt konstant !</SPAN>","39",""
"16","Multiple Choice","<SPAN STYLE="""" >Wird der Schalter geschlossen, fliesst ein doppelt so grosser Strom I als vorher. Wie gross sind die 3 gleich grossen Widerst&auml;nde R?</SPAN>","<SPAN STYLE="""" >R = 6 &Omega;</SPAN>","<SPAN STYLE="""" >R = 25 &Omega;</SPAN>","<SPAN STYLE="""" >R = 18 &Omega;</SPAN>","<SPAN STYLE="""" >R = 2 &Omega;</SPAN>","VOID","c","<SPAN STYLE="""" >Die 3 unteren Widerst&auml;nde m&uuml;ssen zusammen den gleich grossen Widerstandswert haben wie die beiden oberen Widerst&auml;nde.<BR>10 &Omega; // 15 &Omega; = 6 &Omega;. <BR>R ist drei mal gr&ouml;sser, als dieser Wert. R = Rtot * n = 6 &Omega; * 3 = 18 &Omega;.</SPAN>","<SPAN STYLE="""" >Die 3 unteren Widerst&auml;nde m&uuml;ssen zusammen den gleich grossen Widerstandswert haben wie die beiden oberen Widerst&auml;nde.<BR>10 &Omega; // 15 &Omega; = 6 &Omega;. <BR>R ist drei mal gr&ouml;sser, als dieser Wert. R = Rtot * n = 6 &Omega; * 3 = 18 &Omega;.</SPAN>","40",""
"16","Multiple Choice","<SPAN STYLE="""" >Auf welche Art ver&auml;ndert sich I, wenn das untere Potenziometer in Richtung B und das obere Potenziometer in Richtung A verschoben werden?</SPAN>","<SPAN STYLE="""" >I steigt, weil der Widerstandswert bei beiden Potenziometern gr&ouml;sser wird.</SPAN>","<SPAN STYLE="""" >I bleibt gleich, weil der Widerstandswert  vom 1000 &Omega; Widerstand gr&ouml;sser wird, und der Widerstandswert vom 100 &Omega; Widerstand kleiner wird. Diese Ver&auml;nderungen heben sich auf.</SPAN>","<SPAN STYLE="""" >I steigt, weil bei beiden Potenziometer der Widerstandswert kleiner wird.</SPAN>","<SPAN STYLE="""" >Weil bei beiden Potenziometer der Widerstandswert gr&ouml;sser wird, sinkt der Strom I.</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >Bei beiden Potentiometern wird der Widerstandswert verkleinert.</SPAN>","43","44"
"16","Multiple Choice","<SPAN STYLE="""" >Auf Position I fliesst ein Strom I von 200 mA.<BR>Auf Position II fliesst ein Strom I von 300 mA.<BR>Wie gross ist R1?</SPAN>","<SPAN STYLE="""" >R1 = 50 &Omega;</SPAN>","<SPAN STYLE="""" >R1 = 33,3 &Omega;</SPAN>","<SPAN STYLE="""" >R1 = 100 &Omega;</SPAN>","<SPAN STYLE="""" >R1 = 200 &Omega;</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >Auf Pos. II fliesst durch den 50 &Omega; Widerstand 200 mA (I = U / R). Demnach fliesst durch den obersten Widerstand 300mA - 200 mA = 100 mA. Auf Pos. I ist der Gesamtstrom 200 mA. Also muss durch R1 derjenige Strom fliessen, der nicht durch den obersten Widerstand fliesst. (100 mA) Daraus R1 = U/I</SPAN>","46",""
"17","Multiple Choice","<SPAN STYLE="""" >Wenn die Eingangsspannung doppelt so gross gemacht wird, steigen auch die beiden Spannungen U1 und U2.<BR>Welche der beiden Spannungen (U1 oder U2) steigt, in Volt gemessen, mehr an?</SPAN>","<SPAN STYLE="""" >U1 steigt mehr an.</SPAN>","<SPAN STYLE="""" >Beide steigen um die gleich grosse Spannung an</SPAN>","<SPAN STYLE="""" >U2 steigt mehr an.</SPAN>","VOID","VOID","c","VOID","<SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >U1 = (12V / 12 &Omega;) * 5 &Omega; = 5 V.   U2 = (12 V / 120 k&Omega; * 100 k&Omega;= 10V.   U1</SPAN><SPAN STYLE=""font-size: 6px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;vertical-align: text-bottom;"" >neu</SPAN><SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" > = (24 V / 12 &Omega;) * 5 &Omega; = 10 V.   U2</SPAN><SPAN STYLE=""font-size: 6px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;vertical-align: text-bottom;"" >neu </SPAN><SPAN STYLE=""font-size: 12px;font-weight: normal;font-style:normal;text-decoration:none;font-variant:normal;letter-spacing: normal;text-transform: none;"" >= (24 V / 120 k&Omega;) * 100 k&Omega; = 20 V. U1 ist um 5 V gestiegen, U2 ist um 10 V gestiegen.</SPAN>","52",""
"5","Multiple Choice","<SPAN STYLE="""" >Welche Schaltung ist richtig, wenn die Lampe nur bei gedr&uuml;cktem Schalter leuchten soll?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","c","VOID","VOID","60","61"
"6","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung misst das Amperemeter die Stromst&auml;rke richtig, wenn der Schalter geschlossen ist?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","b","VOID","VOID","62","63"
"5","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung zeigt das Voltmeter die Lampenspannung nur dann an, wenn der Schalter geschlossen ist?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","d","VOID","VOID","64","65"
