"categorySetId","questionType","questionPhrase","Answer1","Answer2","Answer3","Answer4","Answer5","CorrectAnswerAsLetter","textIfCorrect","textIfIncorrect","questionImageId","solutionImageId","autor","pointsToAchieve"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Was muss ge&auml;ndert werden, damit  man  ein neutrales  Atom erh&auml;lt?</SPAN>","<SPAN STYLE="""" >2 Neutronen dazugeben.</SPAN>","<SPAN STYLE="""" >1 Elektron wegnehmen.</SPAN>","<SPAN STYLE="""" >1 Elektron dazugeben.</SPAN>","<SPAN STYLE="""" >1 Neutron dazugeben.</SPAN>","VOID","b","<SPAN STYLE="""" >Es m&uuml;ssen genau gleich viele negative wie positive Ladungen vorhanden sein.</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen genau gleich viele negative wie positive Ladungen vorhanden sein.</SPAN>","74","75","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Bedingung muss erf&uuml;llt sein, damit ein Atom elektrisch neutral ist?</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen nur Neutronen vorhanden sein.</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen gleich viele Neutronen wie Protonen vorhanden sein.</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen gleich viele Elektronen wie Neutronen vorhanden sein.</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen doppelt so viele Neutronen wie Protonen vorhanden sein.</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen gleich viele Elektronen wie Protonen vorhanden sein.</SPAN>","e","VOID","<SPAN STYLE="""" >Es m&uuml;ssen genau gleich viele negative wie positive Ladungen vorhanden sein.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Ein Kupferdraht leitet den elektrischen Strom gut, weil er..</SPAN>","<SPAN STYLE="""" >sehr viele freie bewegliche negative Ladungen (Elektronen) hat</SPAN>","<SPAN STYLE="""" >sehr viele freie bewegliche positive Ladungen hat</SPAN>","<SPAN STYLE="""" >sehr wenig freie bewegliche negative Ladungen (Elektronen) hat</SPAN>","<SPAN STYLE="""" >sehr wenig freie bewegliche positive Ladungen hat</SPAN>","VOID","a","<SPAN STYLE="""" >In einem elektrischen Leiter k&ouml;nnen nur geladene Teilchen bewegt werden. Positiv geladene Teilchen sind in einem festen Stoff wie Kupfer im Atomkern gebunden und k&ouml;nnen nicht bewegt werden. Es kommen deshalb hier nur die beweglichen Teilchen der Atomh&uuml;lle (freie Elektronen) in Frage.</SPAN>","<SPAN STYLE="""" >In einem elektrischen Leiter k&ouml;nnen nur geladene Teilchen bewegt werden. Positiv geladene Teilchen sind in einem festen Stoff wie Kupfer im Atomkern gebunden und k&ouml;nnen nicht bewegt werden. Es kommen deshalb hier nur die beweglichen Teilchen der Atomh&uuml;lle (freie Elektronen) in Frage.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >S&auml;ure-, Lauge- oder Salzhaltige Fl&uuml;ssigkeiten leiten den elektrischen Strom,  weil sie..</SPAN>","<SPAN STYLE="""" >nur positiv geladene Teilchen enthalten</SPAN>","<SPAN STYLE="""" >nur negativ geladene Teilchen enthalten</SPAN>","<SPAN STYLE="""" >nur ungeladene Teilchen enthalten</SPAN>","<SPAN STYLE="""" >positiv und negativ geladene Teilchen enthalten</SPAN>","<SPAN STYLE="""" >mehr negativ als positiv geladene Teilchen enthalten</SPAN>","d","VOID","<SPAN STYLE="""" >In einer Fl&uuml;ssigkeit k&ouml;nnen sich Stoffe mit Ionenbindung, z.B Salz, in positiv und negativ geladene Ionen aufspalten.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Teilchen haben keine elektrische Ladung?</SPAN>","<SPAN STYLE="""" >Neutrale Elektronen</SPAN>","<SPAN STYLE="""" >Alle Kernteilchen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","VOID","c","<SPAN STYLE="""" >Neutronen haben keine Ladung, sie sind elektrisch neutral.</SPAN>","<SPAN STYLE="""" >Neutronen haben keine Ladung, sie sind elektrisch neutral.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Ein Nichtleiter leitet den elektrischen Strom nicht. Welche Ladungstr&auml;ger sind in einem solchen Stoff nicht vorhanden ?</SPAN>","<SPAN STYLE="""" >An den Kern gebundene Elektronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Freie Elektronen</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >Elektrischer Strom kann nur durch Elektronen welche nicht an den Kern gebunden sind (freie Elektronen) transportiert werden.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Teilchen eines Atoms sind Tr&auml;ger einer positiven <BR>Ladung?</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Freie Elektronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","VOID","d","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Was versteht man unter der Ionisierung von Atomen?</SPAN>","<SPAN STYLE="""" >Die Abgabe oder die Aufnahme von Elektronen an der &auml;usseren Elektronenschale.</SPAN>","<SPAN STYLE="""" >Die Verbindung zweier elektrisch wirksamer Atome.</SPAN>","<SPAN STYLE="""" >Das Teilen von Atomen.</SPAN>","<SPAN STYLE="""" >Das Verbinden von Atomen.</SPAN>","VOID","a","<SPAN STYLE="""" >Unter Ion versteht man ein positiv oder negativ geladenes Atom.</SPAN>","<SPAN STYLE="""" >Unter Ion versteht man ein positiv oder negativ geladenes Atom.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welches sind keine Elementarteilchen?</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","ad","VOID","VOID","","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Die Hauptbestandteile eines Atoms sind:</SPAN>","<SPAN STYLE="""" >elektrisch neutraler Kern und darum kreisende Elektronen</SPAN>","<SPAN STYLE="""" >negativer Atomkern und positive Elektronen</SPAN>","<SPAN STYLE="""" >positiver Atomkern und darum kreisende negative Ionen</SPAN>","<SPAN STYLE="""" >positiver Atomkern und darum kreisende Elektronen</SPAN>","<SPAN STYLE="""" >positive Ionen im Kern, negative Ionen in der Atomh&uuml;lle</SPAN>","d","VOID","VOID","1630","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Aufgaben haben die Neutronen im Atomkern?</SPAN>","<SPAN STYLE="""" >Die Elektronen auf ihrer Kreisbahn zu halten</SPAN>","<SPAN STYLE="""" >Die Elektronen vom Kern abzustossen</SPAN>","<SPAN STYLE="""" >Den Kern zu stabilisieren</SPAN>","<SPAN STYLE="""" >Da sie keine Ladung haben, haben sie auch keine Aufgabe</SPAN>","VOID","c","VOID","VOID","1631","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Wie entstehen Ionen?</SPAN>","<SPAN STYLE="""" >Einem Atom werden Protonen entzogen</SPAN>","<SPAN STYLE="""" >Einem Atom werden Neutronen hinzugef&uuml;gt</SPAN>","<SPAN STYLE="""" >Einem Atom werden Elektronen zugef&uuml;hrt oder Protonen entzogen</SPAN>","<SPAN STYLE="""" >Einem Atom werden Elektronen entzogen oder zugef&uuml;hrt</SPAN>","<SPAN STYLE="""" >Einem Atom werden Protonen entzogen oder zugef&uuml;hrt</SPAN>","d","VOID","VOID","1632","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Aussagen &uuml;ber den Atombau sind richtig?</SPAN>","<SPAN STYLE="""" >Atome sind elektrisch neutral</SPAN>","<SPAN STYLE="""" >Atome enthalten immer gleich viele Elektronen wie Protonen</SPAN>","<SPAN STYLE="""" >Der Durchmesser der Atomh&uuml;lle ist etwa doppelt so gross wie der Durchmesser des Kerns</SPAN>","<SPAN STYLE="""" >Elektronen, Protonen und Neutronen haben alle die gleiche Masse</SPAN>","VOID","ab","VOID","VOID","1633","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Elektrizit&auml;t ist eine Form von:</SPAN>","<SPAN STYLE="""" >Kraft</SPAN>","<SPAN STYLE="""" >Leistung</SPAN>","<SPAN STYLE="""" >Druck</SPAN>","<SPAN STYLE="""" >Energie</SPAN>","<SPAN STYLE="""" >W&auml;rme</SPAN>","d","VOID","VOID","","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Wenn ein Kunststoffstab mit einem Tuch durch Reiben elektrisch geladen wird, dann:</SPAN>","<SPAN STYLE="""" >sind Protonen verschoben worden</SPAN>","<SPAN STYLE="""" >sind Elektronen verschoben worden</SPAN>","<SPAN STYLE="""" >sind Ionen oder Molek&uuml;le verschoben worden</SPAN>","<SPAN STYLE="""" >sind Tuch und Stab unterschiedlich geladen</SPAN>","<SPAN STYLE="""" >weisen Tuch und Stab die gleiche Ladung auf</SPAN>","bd","VOID","VOID","1649","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Wenn zwei ungleich geladene K&ouml;rper miteinander verbunden werden, dann:</SPAN>","<SPAN STYLE="""" >fliesst kurzzeitig ein Strom</SPAN>","<SPAN STYLE="""" >bleiben die Ladungen erhalten</SPAN>","<SPAN STYLE="""" >fliessen so viele Elektronen vom negativen zum positiven K&ouml;rper, bis die Ladungen ausgeglichen sind</SPAN>","<SPAN STYLE="""" >wird der negative K&ouml;rper positiv, der positive K&ouml;rper negativ geladen</SPAN>","VOID","ac","VOID","VOID","","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Am Pluspol einer Spannungsquelle herrscht:</SPAN>","<SPAN STYLE="""" >Elektronenmangel</SPAN>","<SPAN STYLE="""" >Elektronen&uuml;berschuss</SPAN>","<SPAN STYLE="""" >Ionenmangel</SPAN>","<SPAN STYLE="""" >Ionen&uuml;berschuss</SPAN>","VOID","a","VOID","VOID","","","<SPAN STYLE="""" >HB</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Welche Schaltung ist richtig, wenn die Lampe nur bei gedr&uuml;cktem Schalter leuchten soll?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","c","VOID","VOID","60","61","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung zeigt das Voltmeter die Lampenspannung nur dann an, wenn der Schalter geschlossen ist?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","d","VOID","VOID","64","65","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Eine Spannung wird gemessen in:</SPAN>","<SPAN STYLE="""" >Ampere.</SPAN>","<SPAN STYLE="""" >Coulomb.</SPAN>","<SPAN STYLE="""" >As.</SPAN>","<SPAN STYLE="""" >Volt.</SPAN>","<SPAN STYLE="""" >Elektronen pro Sekunde.</SPAN>","d","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Wird eine Spannungsquelle mit einem Verbraucher zusammengeschaltet, so fliessen die Elektronen vom..</SPAN>","<SPAN STYLE="""" >Minuspol der Quelle durch die Lampe und zur&uuml;ck zum Pluspol der Quelle.</SPAN>","<SPAN STYLE="""" >Minuspol der Quelle bis zur Lampe. Dort werden sie verbraucht.</SPAN>","<SPAN STYLE="""" >Pluspol der Quelle durch die Lampe und zur&uuml;ck zum Minuspol der Quelle.</SPAN>","<SPAN STYLE="""" >Pluspol der Quelle bis zur Lampe. Dort werden sie verbraucht.</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Die Elektronen fliessen vom Elektronen&uuml;berschusspol (Negativer Pol) zum Elektronenmangelpol (Positiver Pol)</SPAN>","68","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Was macht eine Spannungsquelle?</SPAN>","<SPAN STYLE="""" >Elektronen produzieren.</SPAN>","<SPAN STYLE="""" >Negative und positive Ladungen voneinander trennen</SPAN>","<SPAN STYLE="""" >Protonen mit Strom laden.</SPAN>","<SPAN STYLE="""" >Elektronen mit Strom laden.</SPAN>","VOID","b","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Welche der nachgenannten Apparate ist kein <BR>Spannungserzeuger?</SPAN>","<SPAN STYLE="""" >Turbine</SPAN>","<SPAN STYLE="""" >Piezokristall</SPAN>","<SPAN STYLE="""" >Brennstoffzelle</SPAN>","<SPAN STYLE="""" >Solarzelle</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Die Spannung wird nicht in der Turbine, sondern im Generator, welcher von der Turbine angetrieben wird, erzeugt.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Welches der nachgenannten Objekte ist kein <BR>Spannungserzeuger?</SPAN>","<SPAN STYLE="""" >Akkumulator</SPAN>","<SPAN STYLE="""" >Sonne</SPAN>","<SPAN STYLE="""" >Dynamo</SPAN>","<SPAN STYLE="""" >Thermoelement</SPAN>","VOID","b","VOID","<SPAN STYLE="""" >Die Sonne liefert zwar die Energie, aber die Spannung wird im Solarpanel erzeugt.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Ein festes Material kann den elektrischen Strom leiten, wenn..</SPAN>","<SPAN STYLE="""" >sich nur negativ geladene Teilchen im Material befinden.</SPAN>","<SPAN STYLE="""" >sich bewegliche freie Ladungstr&auml;ger (Elektronen) im Material befinden.</SPAN>","<SPAN STYLE="""" >sich freie Protonen im Material befinden.</SPAN>","<SPAN STYLE="""" >wenn sich freie Neutronen im Material befinden</SPAN>","VOID","d","<SPAN STYLE="""" >Nur freie Elektronen (Valenzelektronen) leiten den elektrischen Strom in einem elektrisch leitenden festen Material</SPAN>","<SPAN STYLE="""" >Nur freie Elektronen (Valenzelektronen) leiten den elektrischen Strom in einem elektrisch leitenden festen Material</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Durch welche der genannten Eigenschaften oder T&auml;tigkeiten, kann keine Spannung direkt erzeugt werden?</SPAN>","<SPAN STYLE="""" >Durch Wasserdruck auf Turbine</SPAN>","<SPAN STYLE="""" >Durch Druck auf Kristalle</SPAN>","<SPAN STYLE="""" >Durch W&auml;rme</SPAN>","<SPAN STYLE="""" >Durch Reibung</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Der Wasserdruck auf die Turbine treibt einen Generator an, welcher dann Spannung erzeugt. Die Spannung wird dadurch indirekt erzeugt.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung ist  die Stromrichtung richtig angegeben?<BR>Die Spannungsrichtung (Pfeilrichtung) ist richtig eingezeichnet.</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","d","<SPAN STYLE="""" >Die Spannungspfeile geben die Spannungsrichtung (vom h&ouml;heren zum tieferen Potential) an. In dieser Richtung fliesst ausserhalb einer Quelle der Strom.</SPAN>","<SPAN STYLE="""" >Die Spannungspfeile geben die Spannungsrichtung (vom h&ouml;heren zum tieferen Potential) an. In dieser Richtung fliesst ausserhalb einer Quelle der Strom.</SPAN>","118","119","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Bei welchem Bild ist der Spannungspfeil richtig eingezeichnet?<BR>(Der Spannungspfeil zeigt vom h&ouml;heren zum tieferen Potenzial.)</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","d","<SPAN STYLE="""" >H&ouml;here Spannung heisst auch &bdquo;positivere Spannung)</SPAN>","<SPAN STYLE="""" >H&ouml;here Spannung heisst auch &bdquo;positivere Spannung)</SPAN>","120","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Der Spannungspfeil zeigt vom h&ouml;heren zum tieferen Potenzial. Bei welcher Schaltung ist das Potenzial 4V richtig eingetragen?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >H&ouml;here Spannung heisst auch &bdquo;positivere Spannung</SPAN>","121","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung ist der Spannungspfeil richtig<BR>eingetragen, wenn er vom h&ouml;heren zum tieferen Potenzial zeigt?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","b","VOID","VOID","122","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Bei welchem Bild ist eine Spannung von 2V richtig eingezeichnet?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","a","<SPAN STYLE="""" >H&ouml;here Spannung heisst auch &bdquo;positivere Spannung)</SPAN>","<SPAN STYLE="""" >H&ouml;here Spannung heisst auch &bdquo;positivere Spannung)<BR>-6V ist 2V tiefer als -4V</SPAN>","123","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.2","Multiple Choice","<SPAN STYLE="""" >Die Richtung der Spannungspfeile und das Potential 4V ist &uuml;berall richtig eingetragen. Bei welcher Schaltung ist die Spannungsangabe richtig eingezeichnet?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","b","VOID","<SPAN STYLE="""" >Das Potential 4V ist h&ouml;her als das Potential -6V. Der Spannungspfeil zeigt immer vom h&ouml;heren zum tieferen Potential.</SPAN>","124","","<SPAN STYLE="""" >FK</SPAN>","1"
